細學類,細學類名稱,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
01111,綜合教育細學類,人文社會學院教育經營碩士在職專班,N 職,M 碩士,55,15,40,3,12,2,19,4,3,2,4,3,1,1,1,-,-,-,-
01111,綜合教育細學類,人文社會學院教育經營碩士班,D 日,M 碩士,28,3,25,1,7,-,9,2,4,-,2,-,1,-,2,-,-,-,-
01111,綜合教育細學類,文教事業經營研究所,D 日,M 碩士,21,4,17,1,9,2,6,1,1,-,1,-,-,-,-,-,-,-,-
01111,綜合教育細學類,文教事業經營研究所,N 職,M 碩士,63,14,49,5,24,3,17,3,6,2,1,1,1,-,-,-,-,-,-
01111,綜合教育細學類,文教事業經營碩士在職學位學程,N 職,M 碩士,19,2,17,-,-,-,6,2,4,-,1,-,5,-,1,-,-,-,-
01111,綜合教育細學類,竹師教育學院學士班,D 日,B 學士,132,57,75,25,27,11,19,12,17,9,12,-,-,-,-,-,-,-,-
01111,綜合教育細學類,師範學院教學專業國際碩士學位學程,D 日,M 碩士,10,2,8,-,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教管理人才博士學位學程,D 日,D 博士,4,1,3,-,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,D 博士,33,12,21,1,4,2,3,3,5,-,1,1,4,2,1,3,3,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,M 碩士,20,3,17,1,7,-,1,-,6,2,3,-,-,-,-,-,-,-,-
01111,綜合教育細學類,國際文教與比較教育學系,D 日,B 學士,195,30,165,7,39,8,35,6,41,6,43,-,-,-,-,-,-,3,7
01111,綜合教育細學類,教育心理與輔導學系,D 日,M 碩士,125,33,92,8,31,9,18,6,17,10,25,-,1,-,-,-,-,-,-
01111,綜合教育細學類,教育心理與輔導學系,D 日,B 學士,181,51,130,8,31,13,31,14,30,12,34,-,-,-,-,-,-,4,4
01111,綜合教育細學類,教育心理與輔導學系,N 職,M 碩士,2,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
01111,綜合教育細學類,教育心理與輔導學系社區諮商與教育碩士在職專班,N 職,M 碩士,80,13,67,3,20,3,17,3,9,3,11,1,10,-,-,-,-,-,-
01111,綜合教育細學類,教育研究所,D 日,D 博士,137,59,78,11,15,14,10,9,18,4,14,8,4,7,9,6,8,-,-
01111,綜合教育細學類,教育研究所,D 日,M 碩士,463,149,314,44,116,37,94,39,55,27,42,1,2,1,4,-,1,-,-
01111,綜合教育細學類,教育研究所,N 職,M 碩士,563,113,450,40,152,27,177,16,50,15,40,7,24,7,7,1,-,-,-
01111,綜合教育細學類,教育研究所中等學校教師在職進修教學碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-
01111,綜合教育細學類,教育研究所教育創新與人力發展碩士在職專班,N 職,M 碩士,65,20,45,5,9,5,9,4,8,4,9,1,7,1,3,-,-,-,-
01111,綜合教育細學類,教育研究所教育與學校行政碩士學位班,N 職,M 碩士,3,1,2,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-
01111,綜合教育細學類,教育研究所教育學回流碩士在職專班,N 職,M 碩士,53,13,40,4,11,2,14,4,11,1,4,2,-,-,-,-,-,-,-
01111,綜合教育細學類,教育專業發展研究所,D 日,M 碩士,19,3,16,-,-,-,7,1,6,2,3,-,-,-,-,-,-,-,-
01111,綜合教育細學類,教育專業發展研究所,N 職,M 碩士,23,4,19,1,6,2,4,-,2,-,2,1,2,-,3,-,-,-,-
